201	-575	-423	
201	-575	-415	
193	-575	-417	
209	-567	-417	
193	-559	-411	
201	-575	-419	
201	-567	-413	
209	-567	-417	
177	-559	-415	
193	-583	-419	
193	-559	-409	
209	-583	-415	
201	-543	-415	
185	-567	-415	
193	-551	-419	
201	-559	-413	
201	-575	-409	
201	-567	-419	
201	-575	-413	
201	-575	-411	
201	-567	-421	
201	-567	-415	
201	-551	-417	
217	-567	-415	
209	-567	-413	
201	-559	-413	
209	-567	-415	
193	-519	-415	
257	-439	-421	
313	-439	-407	
257	-311	-393	
105	-431	-363	
-39	-487	-331	
-183	-519	-319	
-295	-655	-291	
-271	-727	-287	
-231	-807	-279	
-327	-895	-253	
-255	-999	-233	
-231	-1071	-205	
-215	-1199	-163	
-231	-1247	-109	
-279	-1287	-59	
-303	-1279	-41	
-311	-1279	-25	
-279	-1311	-47	
-223	-1311	-63	
-207	-1311	-73	
-247	-1319	-41	
-327	-1287	25	
-343	-1215	67	
-311	-1167	111	
-151	-1095	141	
33	-1095	149	
185	-1159	125	
225	-1215	95	
105	-1231	81	
-135	-1263	65	
-495	-1175	3	
-911	-759	-105	
-863	-255	-161	
-447	201	-169	
161	425	-115	
593	297	-97	
881	-39	-119	
857	-471	-175	
649	-751	-197	
329	-1007	-197	
-79	-1199	-151	
-279	-1263	-91	
-287	-1319	-29	
-15	-1279	53	
217	-1319	99	
313	-1359	69	
209	-1359	33	
-7	-1327	11	
-375	-1263	-15	
-839	-879	-61	
-975	-447	-109	
-799	33	-143	
-367	417	-145	
369	465	-133	
753	169	-129	
889	-311	-169	
625	-775	-217	
241	-975	-235	
-159	-1127	-189	
-407	-1223	-89	
-383	-1255	-5	
-119	-1279	39	
297	-1199	111	
513	-1135	151	
625	-1175	127	
441	-1263	95	
145	-1319	61	
-159	-1303	39	
-639	-1135	-17	
-927	-791	-77	
-975	-343	-131	
-639	217	-149	
-79	473	-147	
433	417	-127	
865	33	-137	
825	-471	-201	
497	-807	-235	
105	-975	-241	
-343	-1127	-165	
-471	-1215	-63	
-343	-1263	27	
-55	-1303	35	
177	-1303	77	
393	-1327	105	
481	-1303	77	
425	-1319	61	
177	-1367	27	
-175	-1311	-7	
-511	-1191	-13	
-855	-967	-21	
-1015	-567	-43	
-983	-143	-89	
-639	257	-141	
1	457	-163	
465	361	-153	
793	65	-169	
753	-415	-225	
553	-743	-237	
281	-935	-229	
-7	-1127	-197	
-263	-1223	-127	
-231	-1303	-65	
-111	-1351	-27	
137	-1335	5	
273	-1399	21	
449	-1479	-1	
313	-1431	-69	
41	-1383	-89	
-215	-1287	-89	
-567	-1159	-85	
-839	-927	-79	
-1007	-527	-69	
-935	-39	-61	
-655	337	-85	
-31	529	-93	
625	289	-93	
937	-95	-81	
921	-575	-133	
529	-983	-181	
81	-1151	-185	
-279	-1223	-127	
-471	-1223	-61	
-375	-1271	5	
-135	-1319	25	
73	-1327	67	
113	-1463	61	
-63	-1503	17	
-311	-1375	-9	
-527	-1231	3	
-647	-1119	5	
-791	-959	27	
-919	-735	43	
-975	-583	27	
-975	-447	-1	
-951	-231	-59	
-855	-63	-115	
-679	89	-161	
-207	297	-193	
257	329	-157	
569	249	-125	
817	33	-115	
897	-119	-133	
865	-375	-181	
641	-775	-219	
129	-1239	-153	
-335	-1263	-91	
-495	-1199	-7	
-359	-1159	97	
-143	-1047	165	
121	-975	155	
-127	-1231	1	
-1487	-727	-155	
-1271	57	153	
-911	-711	47	
-671	-583	-239	
-7	-495	-327	
673	-567	-253	
921	-583	-137	
929	-719	-61	
873	-839	13	
689	-1023	63	
497	-1047	113	
353	-967	171	
313	-903	191	
289	-863	201	
225	-791	219	
169	-751	231	
137	-775	245	
185	-759	245	
393	-719	255	
425	-639	275	
345	-551	287	
321	-487	281	
305	-383	277	
217	-383	269	
169	-359	253	
185	-255	245	
153	-279	245	
201	-167	237	
393	-95	211	
657	-103	177	
881	-231	111	
969	-471	77	
969	-679	41	
897	-791	-7	
889	-823	-55	
881	-871	-53	
825	-935	9	
761	-871	107	
657	-711	175	
489	-567	217	
265	-415	249	
57	-335	245	
1	-319	255	
89	-295	251	
233	-351	245	
369	-295	227	
401	-295	233	
369	-279	231	
273	-295	239	
209	-375	249	
217	-567	235	
417	-783	203	
569	-871	153	
561	-991	139	
481	-1063	133	
505	-1143	77	
641	-1159	5	
817	-975	-87	
825	-703	-173	
681	-631	-223	
585	-551	-239	
481	-527	-265	
329	-535	-277	
209	-559	-287	
49	-671	-279	
-95	-791	-271	
9	-783	-269	
193	-703	-275	
345	-599	-267	
385	-663	-263	
489	-535	-249	
497	-551	-245	
441	-615	-255	
377	-671	-257	
217	-887	-243	
41	-1007	-225	
-191	-1167	-167	
-383	-1231	-85	
-535	-1191	-23	
-687	-1063	35	
-743	-887	99	
-823	-711	121	
-879	-615	109	
-799	-847	93	
-319	-1271	25	
-31	-1319	-25	
177	-1295	-95	
401	-1143	-141	
425	-1151	-123	
217	-1263	-79	
-55	-1319	-19	
-335	-1271	29	
-487	-1143	81	
-647	-975	109	
-735	-919	101	
-823	-847	75	
-927	-863	11	
-927	-879	-49	
-887	-871	-77	
-783	-991	-79	
-711	-1039	-119	
-759	-935	-135	
-807	-839	-143	
-863	-807	-137	
-815	-879	-121	
-767	-1023	-65	
-623	-1159	-37	
-471	-1255	-1	
-351	-1271	37	
-351	-1255	67	
-439	-1175	81	
-487	-1175	55	
-655	-1127	-13	
-775	-1007	-59	
-807	-927	-95	
-879	-831	-115	
-927	-743	-115	
-951	-735	-91	
-999	-751	-13	
-871	-807	97	
-551	-911	161	
-175	-999	183	
57	-1127	139	
441	-1167	61	
641	-1127	-57	
569	-1135	-105	
545	-1087	-157	
609	-959	-175	
697	-935	-161	
705	-991	-103	
641	-1103	-9	
417	-1191	19	
377	-1239	1	
329	-1263	13	
233	-1295	-21	
289	-1295	-19	
425	-1231	-35	
521	-1175	-71	
569	-1127	-91	
561	-1031	-141	
545	-991	-165	
457	-999	-187	
345	-1015	-203	
233	-991	-227	
49	-919	-251	
-95	-815	-277	
-279	-687	-281	
-343	-607	-283	
-463	-551	-273	
-583	-551	-257	
-687	-663	-229	
-767	-775	-199	
-719	-1055	-125	
-679	-1143	-79	
